idx,scheduled_t_rel_s,t_rel_s,latency_s,status,ttft_s,avg_tbt_s,worst_tbt_s
0,0.0,0.024560422999456932,1.2755443360001664,ok,0.06615630200030864,0.015308358873408917,0.05215784200026974
1,0.3999999999999999,0.40089764799995464,1.270057104999978,ok,0.06357562199991662,0.015271581696203,0.05209144800028298
2,1.0,1.0005636199994115,1.318706342999576,ok,0.0658740589997251,0.015858277126587578,0.05255742999997892
3,1.2000000000000002,1.2004127599993808,1.3125269709998975,ok,0.05821974799982854,0.015876803405067048,0.05255035099980887
4,1.4,1.401146343999244,1.3200190379993728,ok,0.06284674599919526,0.0159132225189866,0.05256980000012845
5,1.7999999999999998,1.800907339999867,1.2790816190008627,ok,0.061683120999987295,0.01623162086667435,0.05255954899985227
6,2.111,2.112105531999987,1.243849444999796,ok,0.06769839999924443,0.014887618556966555,0.052432626000154414
7,2.333,2.333603943999151,1.3676375479999479,ok,0.06765319900023314,0.016882576298697827,0.09862295999937487
8,2.5,2.5002712010000323,1.3256981759996052,ok,0.06746577099966089,0.015926649063289857,0.09848983700067038
9,3.3810000000000002,3.3814399709999634,1.662044460999823,ok,0.07066762599970389,0.021218002533338828,0.09830724799940072
10,3.476,3.476634543999353,1.6657527259994822,ok,0.11052922899943951,0.019686059772159096,0.09816238699932
11,3.524,3.524238338000032,1.618386124000608,ok,0.10408372599977156,0.019666066909093234,0.09831941500033281
12,3.572,3.5736086589995466,1.5688450910001848,ok,0.05758495000009134,0.019129679898734264,0.0983029399994848
13,4.0,4.001436570999431,1.7964178310003263,ok,0.09663755400015361,0.02207472018181324,0.08224810299998353
14,4.039,4.0397826649996205,1.7576611049998974,ok,0.099183807999907,0.02099298864556624,0.06524822099981975
15,4.079,4.0797802609995415,1.717778076000286,ok,0.06201703599981556,0.021503179090914627,0.08067036900047242
16,4.237,4.237469765999776,1.68940312200084,ok,0.07016523400034202,0.020496322670888856,0.06524853999962943
17,4.316,4.317843483999241,1.6507779510002365,ok,0.07143005600028118,0.01999134505063069,0.06515878400023212
18,4.395,4.395443116000024,1.6018369410003288,ok,0.06159640599980776,0.019496393582283163,0.06524257499950181
19,4.513,4.513788006999675,1.5680589599996893,ok,0.10554942900034803,0.019499777853331277,0.06524197999988246
20,4.553,4.553366759999335,1.528560507000293,ok,0.06872317099987413,0.01847876231645214,0.06524139500015735
21,4.632,4.632287479999832,1.4926415770005406,ok,0.07176983200042741,0.017985369810129312,0.06515970300006302
22,5.033,5.0337313859999995,1.605710937999902,ok,0.06379661199935072,0.01951757630380414,0.06524189099945943
23,5.133,5.133876456999133,1.6432293739999295,ok,0.06476328500048112,0.019980239341771556,0.06522525299988047
24,5.2,5.20085567499973,1.6045872939994297,ok,0.06741694999982428,0.019457505341777023,0.06522366800072632
25,5.267,5.268355702999543,1.5654826989994035,ok,0.11787037799967948,0.01832388383544513,0.05777447699983895
26,5.3,5.302144604999739,1.531859835999967,ok,0.08765204199971777,0.018280909177220462,0.05779425400032778
