idx,scheduled_t_rel_s,t_rel_s,latency_s,status,ttft_s,avg_tbt_s,worst_tbt_s,tokens_received,gen_chars,saw_done,finish_reason
0,0.0,0.011541927999132895,1.307953842000643,ok,0.06418475200007379,0.01574351796204345,0.024015464001422515,80,389,True,length
1,0.3999999999999999,0.4006418249991839,1.2792136389998632,ok,0.04719910000130767,0.015594778860759106,0.024386168999626534,80,411,True,length
2,1.0,1.0005701219997718,1.2918957630008663,ok,0.04907616499986034,0.015731562772146653,0.024351051999474294,80,455,True,length
3,1.2000000000000002,1.2013708989998122,1.299945201999435,ok,0.053819836999537074,0.015773339911395887,0.024391536000621272,80,404,True,length
4,1.4,1.4011114039985841,1.2933981450005376,ok,0.045161281999753555,0.015800090088604623,0.024352407001060783,80,340,True,length
5,1.7999999999999998,1.800312565999775,1.2962090499986516,ok,0.053363873999842326,0.015731834898717722,0.02440191200003028,80,325,True,length
6,2.111,2.111522466999304,1.2946614739994402,ok,0.05526374399960332,0.01568818831645653,0.024080111001239857,80,314,True,length
7,2.333,2.333503040999858,1.3105605470009323,ok,0.05733000600048399,0.01586329917720636,0.02398646700021345,80,455,True,length
8,2.5,2.5003407989988773,1.30029084600028,ok,0.05245579300026293,0.015795038746834012,0.02398708100008662,80,376,True,length
9,3.3810000000000002,3.3829348789986398,1.3578123759998562,ok,0.05755493000106071,0.016458554569608975,0.02503094100029557,80,394,True,length
10,3.476,3.4768036249988654,1.3459054510003625,ok,0.04629291200035368,0.01645044039241263,0.024960319000456366,80,402,True,length
11,3.524,3.524322213999767,1.3475333219994354,ok,0.050671564998992835,0.016415622392419726,0.024966001999928267,80,412,True,length
12,3.572,3.5727457989996765,1.3478307950008457,ok,0.05372197200085793,0.016380796898743086,0.024960856999314274,80,480,True,length
13,4.0,4.000944026998695,1.373168745998555,ok,0.05193971599874203,0.016724080493675707,0.024961603001429467,80,402,True,length
14,4.039,4.039707249999992,1.3670572199989692,ok,0.04929551199893467,0.016680184164560838,0.024913881001339178,80,431,True,length
15,4.079,4.079752955998629,1.3607723859986436,ok,0.04558927099969878,0.01664736396201136,0.024962260999018326,80,418,True,length
16,4.237,4.237223543999789,1.3668111389997648,ok,0.04857046599863679,0.016686199708866423,0.02503339299983054,80,603,True,length
17,4.316,4.316548663999129,1.3685797159996582,ok,0.05333780699947965,0.01664831327848966,0.02496229600001243,80,341,True,length
18,4.395,4.395764486998814,1.3758830730002956,ok,0.05753293800080428,0.016687653746827628,0.024926656000388903,80,352,True,length
19,4.513,4.514081896999414,1.3668827049987158,ok,0.05492353899899172,0.016606741607609343,0.024877468998965924,80,389,True,length
20,4.553,4.5536241339996195,1.3599477920015488,ok,0.05230197700075223,0.016552089075946554,0.024876524999854155,80,593,True,length
21,4.632,4.632420578000165,1.3603666260005411,ok,0.059371874000134994,0.016467951708859167,0.024878670999896713,80,379,True,length
22,5.033,5.033805589999247,1.3512252159998752,ok,0.04742268599875388,0.016503461430389346,0.024652332000187016,80,583,True,length
23,5.133,5.133782834000158,1.3508084419991064,ok,0.04782710099971155,0.01649306917720481,0.0246353190013906,80,593,True,length
24,5.2,5.200747439999759,1.347572663000392,ok,0.049286239000139176,0.016433655367097656,0.02436079800099833,80,333,True,length
25,5.267,5.267307639998762,1.3446878190006828,ok,0.05162336600005801,0.01636755988607846,0.02464116500050295,80,367,True,length
26,5.3,5.300457227000152,1.3445451210009196,ok,0.055791316999602714,0.016313042139250982,0.02464522999980545,80,305,True,length
27,5.467,5.467284157999529,1.344765149999148,ok,0.05600122999931045,0.016313105430388625,0.024643696000566706,80,372,True,length
28,5.733,5.733332642999812,1.3340636859993538,ok,0.05120537000038894,0.016237924911377065,0.024418375000095693,80,394,True,length
29,6.115,6.115791165999326,1.341522602000623,ok,0.0531643169997551,0.016307923050647596,0.024192516000766773,80,417,True,length
30,6.173,6.173429435999424,1.3318911130008928,ok,0.04733631599992805,0.016259670037977195,0.02422818400009419,80,380,True,length
31,6.201,6.203026539998973,1.3390474250008992,ok,0.05428817500069272,0.0162624601265795,0.024228888998550246,80,586,True,length
