timestamp_s,prompt_length,max_new_tokens,second,index_in_second
1.000000,77,80,45,0
1.400000,1,80,45,1
2.000000,105,80,46,0
2.200000,78,80,46,1
2.400000,48,80,46,2
2.800000,42,80,46,3
3.111000,33,80,47,0
3.333000,105,80,47,1
3.500000,59,80,47,2
4.381000,57,80,48,0
4.476000,71,80,48,1
4.524000,80,80,48,2
4.572000,68,80,48,3
5.000000,71,80,49,0
5.039000,81,80,49,1
5.079000,69,80,49,2
5.237000,73,80,49,3
5.316000,54,80,49,4
5.395000,79,80,49,5
5.513000,52,80,49,6
5.553000,95,80,49,7
5.632000,66,80,49,8
6.033000,125,80,50,0
6.133000,103,80,50,1
6.200000,44,80,50,2
6.267000,133,80,50,3
6.300000,30,80,50,4
6.467000,26,80,50,5
6.733000,56,80,50,6
7.115000,94,80,51,0
7.173000,56,80,51,1
7.201000,120,80,51,2
7.431000,104,80,51,3
7.632000,55,80,51,4
7.661000,120,80,51,5
7.833000,94,80,51,6
8.173000,82,80,52,0
8.345000,30,80,52,1
8.402000,74,80,52,2
8.488000,54,80,52,3
8.546000,116,80,52,4
8.575000,72,80,52,5
8.661000,64,80,52,6
8.719000,102,80,52,7
8.776000,139,80,52,8
9.025000,95,80,53,0
9.101000,44,80,53,1
9.202000,86,80,53,2
9.278000,88,80,53,3
9.303000,66,80,53,4
9.328000,87,80,53,5
9.353000,60,80,53,6
9.454000,36,80,53,7
9.554000,48,80,53,8
9.630000,85,80,53,9
9.655000,39,80,53,10
9.781000,25,80,53,11
10.000000,82,80,54,0
10.067000,50,80,54,1
10.090000,67,80,54,2
10.135000,79,80,54,3
10.157000,57,80,54,4
10.179000,58,80,54,5
10.224000,74,80,54,6
10.247000,123,80,54,7
10.269000,94,80,54,8
10.359000,92,80,54,9
10.381000,75,80,54,10
10.404000,80,80,54,11
10.449000,112,80,54,12
10.494000,108,80,54,13
10.538000,78,80,54,14
11.040000,93,80,55,0
11.061000,82,80,55,1
11.081000,53,80,55,2
11.101000,119,80,55,3
11.121000,133,80,55,4
11.141000,87,80,55,5
11.303000,84,80,55,6
11.343000,61,80,55,7
